size,rerun,setup,run
1495.9798212409826,11,974.8600745097053,195.63967096642693
1495.9798212409826,12,971.1307461318854,193.7606349259086
1495.9798212409826,13,1005.4253263605419,192.85821633654544
1495.9798212409826,14,917.5417880044308,181.36207196627348
1495.9798212409826,15,913.703500937673,182.85540761711587
1495.9798212409826,16,916.9568870668807,183.59739623503665
1495.9798212409826,17,868.0905862237598,172.7703785373221
1495.9798212409826,18,1323.8707981750044,264.61118952234403
1495.9798212409826,19,1264.7376476177885,266.9153649871846
1495.9798212409826,20,1281.8167549942536,238.2191223036513
1495.9798212409826,21,1113.1834643455009,221.3438946825607
1495.9798212409826,22,1141.7252931815208,221.57919197400943
1495.9798212409826,23,1041.8001485522338,207.1498529592001
1495.9798212409826,24,1033.459126953661,206.81428693559988
1495.9798212409826,25,1148.467362731385,205.8771085190909
1495.9798212409826,26,1036.4003430967707,206.7928962727409
1495.9798212409826,27,1039.7653617477736,205.9185529283802
1495.9798212409826,28,972.0719352976805,193.86625132377478
1495.9798212409826,29,1004.4848056529612,182.30125575742548
1495.9798212409826,30,912.5497420597169,183.13816544178297
1495.9798212409826,31,1285.33618749277,264.61653718805877
1613.8043853904758,0,1272.6697353118502,241.39356884058884
1613.8043853904758,1,1082.0803412164937,222.99976580676102
1613.8043853904758,2,1166.3644101106856,222.33797556150674
1613.8043853904758,3,1086.4575755727449,225.1598789106528
1613.8043853904758,4,1011.8425843816876,209.1368712685318
1613.8043853904758,5,1006.8221493938129,197.56359747582184
1613.8043853904758,6,947.4444448420841,196.451318926916
1613.8043853904758,7,886.8776246717757,184.8656520584522
1613.8043853904758,8,884.8736643223821,185.7895558558999
1613.8043853904758,9,906.7201782612257,205.30679120681202
1613.8043853904758,10,910.4095969131396,174.7876028554413
1613.8043853904758,11,817.0414034913935,165.57892791656124
1613.8043853904758,12,1194.6739130551493,268.2623767286703
1613.8043853904758,13,794.5647016504678,165.34098086208778
1613.8043853904758,14,809.5380157762398,183.53401606870366
1613.8043853904758,15,783.3142674811451,209.29674194575614
1613.8043853904758,16,1263.1357421344323,268.97559823830295
1613.8043853904758,17,715.8884995348819,150.5101871074848
1613.8043853904758,18,1191.9747011559662,296.0495115301102
1613.8043853904758,19,1084.974124405012,223.53142875660012
1613.8043853904758,20,717.9680576463738,148.99327463521655
1613.8043853904758,21,722.2362329359913,152.5699162977706
1613.8043853904758,22,1244.7320246400013,240.6295357203655
1613.8043853904758,23,1004.9718631837668,208.18508305063799
1613.8043853904758,24,716.2392235787152,150.88693661040108
1613.8043853904758,25,1011.4645955711959,207.78478670378942
1613.8043853904758,26,1017.684680292041,207.9917510688783
1613.8043853904758,27,1031.585993365107,231.44316831784235
1613.8043853904758,28,967.9240025252807,217.06658078961706
1613.8043853904758,29,965.2972901192575,217.31568161226895
1613.8043853904758,30,1104.6592859323885,247.5058338023756
1613.8043853904758,31,967.3991557671062,217.71783692048058
1740.908906207768,0,1085.1308723068503,272.65757461944446
1740.908906207768,1,1061.0089898520837,225.47991948359444
1740.908906207768,2,1068.723350983853,225.0238358842925
1740.908906207768,3,985.7965536740054,209.84785516192903
1740.908906207768,4,989.3234469985819,213.03929153185527
1740.908906207768,5,1176.2258166973947,243.09543049088896
1740.908906207768,6,1170.732134652403,270.29042032130445
1740.908906207768,7,931.3077750470787,199.1718226976653
1740.908906207768,8,1089.0667473980552,249.78561396830636
1740.908906207768,9,874.3972729256221,186.0711946759036
1740.908906207768,10,821.6857268632297,175.9557889029732
1740.908906207768,11,1088.2545279907342,259.44378731674766
1740.908906207768,12,1157.004822491046,244.65381185726943
1740.908906207768,13,1155.1173027085447,254.93637169493138
1740.908906207768,14,1067.563037544823,225.39145994418323
1740.908906207768,15,1170.3151111094644,269.81825316938233
1740.908906207768,16,1064.1831938442026,226.02216497193325
1740.908906207768,17,1241.1964763319552,270.0037884371084
1740.908906207768,18,1180.8716657542636,270.24848820197315
1740.908906207768,19,1175.441743507159,269.7969999034199
